;Volumenes;Capitulos;Status;Año;Generos;Temas;Demografia;Editorial;Autor;Lectores
239; 10; 60; Finished; Oct  20, 2007 to Nov  20, 2010;['Fantasy', 'Romance'];['Historical', 'Mythology'];['Shoujo'];"
Hana to Yume";"
Oto, Hisamu (Story & Art)"; 45,391
240; 6; 25; Finished; Jun  18, 2008 to Jun  18, 2010;['Drama', 'Horror', 'Mystery'];['Psychological'];;"
GFantasy";"
Ryukishi07 (Story), Momoyama, Hinase (Art)"; 12,483
241; Unknown; Unknown; Publishing; Sep  24, 2009 to ?;['Comedy', 'Slice of Life'];['Childcare', 'Iyashikei', 'School'];['Shoujo'];"
LaLa";"
Tokeino, Hari (Story & Art)"; 26,126
242; 23; 148; Finished; Aug  20, 1996 to Aug  20, 2004;['Comedy', 'Drama', 'Romance'];['Crossdressing', 'Love Polygon', 'School'];['Shoujo'];"
Hana to Yume";"
Nakajo, Hisaya (Story & Art)"; 37,965
243; 14; 102; Finished; Sep  30, 1997 to Mar  30, 2007;['Action', 'Adventure', 'Award Winning', 'Comedy', 'Drama', 'Sci-Fi'];['Adult Cast'];['Seinen'];"
Young King OURs";"
Nightow, Yasuhiro (Story & Art)"; 32,185
244; 25; 223; Finished; Sep  21, 2006 to Apr  7, 2011;['Action', 'Adventure'];;['Shounen'];"
Shounen Champion (Weekly)";"
Kurumada, Masami (Story), Teshirogi, Shiori (Story & Art)"; 17,837
245; 4; 16; Finished; Jun  22, 2006 to Apr  22, 2008;['Drama', 'Horror', 'Mystery'];['Psychological'];;"
Gangan Powered";"
Suzuragi, Karin (Art), Ryukishi07 (Story)"; 14,232
246; 1; 5; Finished; Mar  28, 2012 to Jul  28, 2012;['Drama', 'Romance', 'Slice of Life'];['Historical', 'Music'];['Josei'];"
Flowers (Monthly)";"
Kodama, Yuki (Story & Art)"; 7,116
247; Unknown; Unknown; Publishing; Dec  22, 2015 to ?;['Comedy', 'Slice of Life', 'Supernatural'];;;"
Young Ace UP";"
Kanai, Neco (Story & Art)"; 7,973
248; 16; 80; Finished; May  12, 2007 to Dec  24, 2013;['Comedy', 'Drama', 'Romance'];;['Shoujo'];"
Betsucomi";"
Motomi, Kyousuke (Story & Art)"; 120,298
249; 37; 369; Finished; Jun  3, 2009 to Oct  11, 2017;['Adventure', 'Award Winning', 'Fantasy'];;['Shounen'];"
Shounen Sunday";"
Ohtaka, Shinobu (Story & Art)"; 157,672
250; 27; 256; Finished; Apr  18, 2012 to Aug  23, 2018;['Action'];['Martial Arts'];;"
Ura Sunday";"
Daromeon (Art), Sandrovich, Yabako (Story)"; 62,647
251; 9; 45; Finished; Oct  25, 2004 to Dec  25, 2008;['Drama'];['Psychological', 'School'];['Seinen'];"
Ikki";"
Mizutani, Osamu (Story), Tsuchida, Seiki (Art)"; 16,797
252; 1; 7; Finished; Jul  16, 2021 to Jan  7, 2022;['Boys Love'];;;"
Canna Comics";"
Serizawa, Tomo (Story & Art)"; 4,731
