;Volumenes;Capitulos;Status;Año;Generos;Temas;Demografia;Editorial;Autor;Lectores
0; Unknown; Unknown; Publishing; Aug  25, 1989 to ?;['Action', 'Adventure', 'Award Winning', 'Drama', 'Fantasy', 'Horror'];['Gore', 'Military', 'Psychological'];['Seinen'];"
Young Animal";"
Miura, Kentarou (Story & Art), Studio Gaga (Art)"; 753,701
1; 24; 96; Finished; Jan  19, 2004 to Apr  19, 2011;['Action', 'Adventure', 'Mystery', 'Supernatural'];['Historical'];['Seinen', 'Shounen'];"
Ultra Jump";"
Araki, Hirohiko (Story & Art)"; 296,398
2; 37; 327; On Hiatus; Sep  3, 1998 to May  21, 2015;['Action', 'Adventure', 'Award Winning'];['Historical', 'Samurai'];['Seinen'];"
Morning";"
Inoue, Takehiko (Story & Art), Yoshikawa, Eiji (Story)"; 427,229
3; Unknown; Unknown; Publishing; Jul  22, 1997 to ?;['Action', 'Adventure', 'Fantasy'];;['Shounen'];"
Shounen Jump (Weekly)";"
Oda, Eiichiro (Story & Art)"; 664,863
4; 18; 162; Finished; Dec  5, 1994 to Dec  20, 2001;['Award Winning', 'Drama', 'Mystery'];['Adult Cast', 'Psychological'];['Seinen'];"
Big Comic Original";"
Urasawa, Naoki (Story & Art)"; 272,221
5; 31; 276; Finished; Sep  18, 1990 to Jun  4, 1996;['Award Winning', 'Sports'];['School', 'Team Sports'];['Shounen'];"
Shounen Jump (Weekly)";"
Inoue, Takehiko (Story & Art)"; 189,592
6; Unknown; Unknown; Publishing; Apr  13, 2005 to ?;['Action', 'Adventure', 'Award Winning', 'Drama'];['Historical'];['Seinen'];"
Afternoon";"
Yukimura, Makoto (Story & Art)"; 335,110
7; 27; 116; Finished; Jul  12, 2001 to Sep  11, 2010;['Action', 'Adventure', 'Award Winning', 'Drama', 'Fantasy'];['Military'];['Shounen'];"
Shounen Gangan";"
Arakawa, Hiromu (Story & Art)"; 311,511
8; Unknown; Unknown; Publishing; Apr  7, 2014 to ?;['Comedy'];;['Seinen'];"
good! Afternoon";"
Inoue, Kenji (Story), Yoshioka, Kimitake (Art)"; 190,799
9; Unknown; Unknown; Publishing; Jan  26, 2006 to ?;['Action', 'Award Winning'];['Historical', 'Military'];['Seinen'];"
Young Jump";"
Hara, Yasuhisa (Story & Art)"; 188,737
10; 13; 147; Finished; Mar  15, 2007 to Nov  2, 2013;['Drama', 'Slice of Life'];['Psychological'];['Seinen'];"
Big Comic Spirits";"
Asano, Inio (Story & Art)"; 487,704
11; 13; 108; Finished; Oct  25, 2012 to Apr  25, 2024;['Action', 'Drama', 'Fantasy'];['Anthropomorphic'];['Seinen'];"
Afternoon";"
Ichikawa, Haruko (Story & Art)"; 155,876
12; Unknown; Unknown; Publishing; Oct  28, 1999 to ?;['Award Winning', 'Drama', 'Sports'];['Psychological', 'Team Sports'];['Seinen'];"
Young Jump";"
Inoue, Takehiko (Story & Art)"; 101,909
13; 22; 249; Finished; Sep  27, 1999 to Apr  24, 2006;['Award Winning', 'Drama', 'Mystery', 'Sci-Fi'];['Historical', 'Psychological'];['Seinen'];"
Big Comic Spirits";"
Urasawa, Naoki (Story & Art)"; 290,902
14; 20; 171; Finished; Jan  1, 1968 to May  13, 1973;['Drama', 'Slice of Life', 'Sports'];['Combat Sports'];['Shounen'];"
Shounen Magazine (Weekly)";"
Kajiwara, Ikki (Story), Chiba, Tetsuya (Art)"; 61,446
15; Unknown; Unknown; Publishing; Mar  21, 2003 to ?;['Award Winning', 'Comedy', 'Slice of Life'];['Childcare', 'Iyashikei'];;"
Dengeki Daioh";"
Azuma, Kiyohiko (Story & Art)"; 170,559
16; 9; 42; Finished; Jan  21, 2012 to Jun  22, 2015;['Drama', 'Fantasy', 'Mystery', 'Supernatural'];;['Shounen'];"
Gangan Joker";"
Natsumi, Kei (Art), Ryukishi07 (Story)"; 22,431
17; 28; 281; Finished; May  19, 2015 to Nov  2, 2022;['Award Winning', 'Comedy', 'Romance'];['School'];['Seinen'];"
Young Jump";"
Akasaka, Aka (Story & Art)"; 289,958
18; 25; 208; Finished; Dec  11, 1996 to Jan  30, 2002;['Action', 'Award Winning', 'Comedy', 'Drama', 'Ecchi'];['Delinquents', 'School', 'Workplace'];['Shounen'];"
Shounen Magazine (Weekly)";"
Fujisawa, Tooru (Story & Art)"; 182,714
19; 45; 407; Finished; Feb  20, 2012 to Jul  20, 2020;['Award Winning', 'Sports'];['School', 'Team Sports'];['Shounen'];"
Shounen Jump (Weekly)";"
Furudate, Haruichi (Story & Art)"; 233,898
20; Unknown; Unknown; Publishing; Jul  13, 2007 to ?;['Award Winning', 'Drama', 'Slice of Life'];['Childcare', 'Iyashikei', 'Strategy Game'];['Seinen'];"
Young Animal";"
Umino, Chica (Story & Art)"; 76,220
21; Unknown; Unknown; Publishing; Apr  28, 2020 to ?;['Adventure', 'Award Winning', 'Drama', 'Fantasy'];;['Shounen'];"
Shounen Sunday";"
Yamada, Kanehito (Story), Abe, Tsukasa (Art)"; 151,524
22; 7; 64; Finished; Aug  7, 2013 to Nov  19, 2014;['Award Winning', 'Drama'];;['Shounen'];"
Shounen Magazine (Weekly)";"
Ooima, Yoshitoki (Story & Art)"; 283,349
23; Unknown; Unknown; Publishing; Aug  5, 2009 to ?;['Adventure', 'Fantasy', 'Romance'];;['Shoujo'];"
Hana to Yume";"
Kusanagi, Mizuho (Story & Art)"; 146,127
24; Unknown; Unknown; Publishing; Oct  21, 2021 to ?;['Drama', 'Romance'];['School'];;"
Magazine pocket";"
Mikami, Saka (Story & Art)"; 103,488
25; 21; 84; On Hiatus; May  26, 2000 to May  26, 2009;['Award Winning', 'Drama', 'Romance'];['Adult Cast', 'Love Polygon', 'Music'];['Shoujo'];"
Cookie";"
Yazawa, Ai (Story & Art)"; 160,686
26; 7; 59; Finished; Oct  9, 1982 to Feb  10, 1994;['Action', 'Adventure', 'Award Winning', 'Fantasy'];;;"
Animage";"
Miyazaki, Hayao (Story & Art)"; 65,309
27; 17; 170; Finished; Nov  1, 2007 to Oct  27, 2011;['Award Winning', 'Drama', 'Sports'];['Psychological'];['Seinen'];"
Young Jump";"
Sakamoto, Shinichi (Story & Art)"; 131,940
28; 14; 102; Finished; Feb  15, 2014 to Sep  15, 2023;['Award Winning', 'Comedy', 'Fantasy', 'Gourmet'];;['Seinen'];"
Harta";"
Kui, Ryouko (Story & Art)"; 99,678
29; 3; 18; Finished; Aug  10, 2016 to Oct  25, 2017;['Drama'];;['Shounen'];"
Shounen Jump+";"
Taguchi, Shouichi (Art), Miaki, Sugaru (Story)"; 181,469
30; Unknown; Unknown; Publishing; Mar  3, 1998 to ?;['Action', 'Adventure', 'Fantasy'];;['Shounen'];"
Shounen Jump (Weekly)";"
Togashi, Yoshihiro (Story & Art)"; 297,150
31; Unknown; Unknown; Publishing; Sep  27, 1989 to ?;['Award Winning', 'Sports'];['Combat Sports'];['Shounen'];"
Shounen Magazine (Weekly)";"
Morikawa, George (Story & Art)"; 96,474
32; Unknown; Unknown; Publishing; Dec  6, 2007 to ?;['Award Winning', 'Drama', 'Sci-Fi'];['Adult Cast', 'Space', 'Workplace'];['Seinen'];"
Morning";"
Koyama, Chuuya (Story & Art)"; 40,801
33; Unknown; Unknown; Publishing; Oct  20, 2012 to ?;['Adventure', 'Drama', 'Fantasy', 'Sci-Fi'];;;"
Web Comic Gamma";"
Tsukushi, Akihito (Story & Art)"; 174,957
34; 6; 47; Finished; Feb  21, 2014 to Jan  12, 2018;['Adventure', 'Award Winning', 'Slice of Life'];['Iyashikei'];;"
Kurage Bunch";"
Tsukumizu (Story & Art)"; 80,916
35; Unknown; Unknown; Publishing; Jun  14, 2012 to ?;['Action', 'Comedy'];['Parody', 'Super Power'];['Seinen'];"
Tonari no Young Jump";"
Murata, Yusuke (Art), ONE (Story)"; 509,833
36; Unknown; Unknown; Publishing; Nov  15, 2019 to ?;['Romance', 'Slice of Life'];['Historical'];;"
    None";"
Fukuda, Ikumi (Story & Art)"; 21,085
37; Unknown; Unknown; Publishing; Aug  4, 2012 to ?;['Drama'];['Music', 'School'];['Shounen'];"
Jump SQ.";"
Sakura, Amyuu (Story & Art)"; 49,392
38; 10; 50; Finished; Oct  8, 1999 to Aug  25, 2008;['Award Winning', 'Fantasy', 'Mystery', 'Supernatural'];['Adult Cast', 'Historical', 'Iyashikei'];['Seinen'];"
Afternoon";"
Urushibara, Yuki (Story & Art)"; 91,796
39; 12; 108; Finished; Dec  1, 2003 to May  15, 2006;['Supernatural', 'Suspense'];['Psychological'];['Shounen'];"
Shounen Jump (Weekly)";"
Obata, Takeshi (Art), Ohba, Tsugumi (Story)"; 415,663
40; 34; 103; Finished; Feb  17, 2000 to Jun  5, 2008;['Award Winning', 'Drama', 'Romance'];['Music'];['Shounen'];"
Shounen Magazine (Monthly)";"
Sakuishi, Harold (Story & Art)"; 87,584
41; Unknown; Unknown; Publishing; Dec  3, 2018 to ?;['Action', 'Award Winning', 'Fantasy'];['Gore', 'Urban Fantasy'];['Shounen'];"
Shounen Jump+";"
Fujimoto, Tatsuki (Story & Art)"; 672,894
42; Unknown; Unknown; Publishing; May  25, 2020 to ?;['Award Winning', 'Drama', 'Sports'];;['Seinen'];"
Afternoon";"
Tsurumaikada (Story & Art)"; 19,489
43; 23; 190; Finished; Nov  30, 2000 to Sep  12, 2018;['Action', 'Comedy', 'Fantasy', 'Horror'];['Gore'];['Seinen'];"
Gessan";"
Hayashida, Q (Story & Art)"; 192,883
44; 6; 120; Finished; Dec  6, 1982 to Jun  11, 1990;['Action', 'Award Winning', 'Sci-Fi'];['Gore'];['Seinen'];"
Young Magazine (Weekly)";"
Otomo, Katsuhiro (Story & Art)"; 142,131
45; Unknown; Unknown; Publishing; Jun  10, 2003 to ?;['Drama', 'Supernatural'];['Iyashikei'];['Shoujo'];"
LaLa";"
Midorikawa, Yuki (Story & Art)"; 48,468
46; Unknown; Unknown; Publishing; Jul  22, 2016 to ?;['Fantasy'];;['Seinen'];"
Morning Two";"
Shirahama, Kamome (Story & Art)"; 113,484
47; Unknown; Unknown; Publishing; May  25, 2017 to ?;['Drama', 'Mystery'];['Historical', 'Medical'];['Seinen'];"
Big Gangan";"
Hyuuga, Natsu (Story), Nekokurage (Art)"; 81,423
48; 8; 50; Finished; Apr  27, 2015 to Sep  27, 2019;['Drama', 'Girls Love'];['School'];;"
Dengeki Daioh";"
Nakatani, Nio (Story & Art)"; 116,185
49; 4; 22; Finished; Dec  26, 2019 to Jan  26, 2022;['Action', 'Mystery', 'Supernatural'];['Detective'];['Shounen'];"
Shounen Ace";"
Asagiri, Kafka (Story), Hoshikawa, Shiwasu (Art)"; 19,978
50; 6; 32; Finished; May  18, 2020 to Jan  18, 2024;['Girls Love'];['School'];;"
Comic Yuri Hime";"
Yuama (Story & Art)"; 25,515
51; 14; 142; Finished; Apr  25, 1994 to Feb  25, 2006;['Award Winning', 'Sci-Fi', 'Slice of Life'];['Iyashikei'];['Seinen'];"
Afternoon";"
Ashinano, Hitoshi (Story & Art)"; 81,714
52; 77; 709; Finished; Dec  8, 2003 to Jun  20, 2019;['Action', 'Comedy', 'Sci-Fi'];['Gag Humor', 'Historical', 'Parody', 'Samurai'];['Shounen'];"
Shounen Jump (Weekly)";"
Sorachi, Hideaki (Story & Art)"; 100,987
53; 1; Unknown; Finished; Apr  11, 2022;['Drama'];;['Shounen'];"
Shounen Jump+";"
Fujimoto, Tatsuki (Story & Art)"; 143,822
54; 15; 238; Finished; Oct  12, 2013 to Mar  16, 2018;['Comedy', 'Drama', 'Romance', 'Slice of Life'];['School'];;"
comico";"
Yayoi, Sou (Story & Art)"; 170,788
55; 31; 314; Finished; Aug  21, 2014 to Apr  28, 2022;['Action', 'Adventure', 'Award Winning'];['Historical'];['Seinen'];"
Young Jump";"
Noda, Satoru (Story & Art)"; 103,156
56; 28; 142; Finished; Sep  1970 to Apr  1976;['Action'];['Historical', 'Samurai'];['Seinen'];"
Manga Action";"
Koike, Kazuo (Story), Kojima, Goseki (Art)"; 51,440
57; 9; 48; Finished; Apr  13, 2011 to Mar  12, 2015;['Drama', 'Mystery', 'Supernatural', 'Suspense'];['Psychological'];['Shounen'];"
Shounen Gangan";"
Mizuno, Eita (Art), Ryukishi07 (Story)"; 16,665
58; Unknown; Unknown; Publishing; Jan  5, 2015 to ?;['Award Winning', 'Sports'];['Team Sports'];['Seinen'];"
Big Comic Spirits";"
Kobayashi, Yuugo (Story & Art), Ueno, Naohiko (Story)"; 38,663
59; 8; 65; Finished; Sep  9, 2003 to Apr  1, 2009;['Action', 'Award Winning', 'Mystery', 'Sci-Fi', 'Suspense'];['Detective', 'Psychological'];['Seinen'];"
Big Comic Original";"
Urasawa, Naoki (Story & Art), Tezuka, Osamu (Story)"; 132,383
60; 12; 67; Finished; Feb  28, 2002 to Feb  29, 2008;['Sci-Fi', 'Slice of Life'];['Iyashikei'];['Shounen'];"
Comic Blade";"
Amano, Kozue (Story & Art)"; 42,756
61; 49; 541; Finished; May  11, 2006 to Dec  21, 2017;['Action'];['High Stakes Game', 'Psychological', 'Strategy Game'];['Seinen'];"
Young Jump";"
Sako, Toshio (Story & Art)"; 48,762
62; 16; 109; Finished; Apr  18, 2012 to Dec  22, 2017;['Action', 'Award Winning', 'Comedy', 'Supernatural'];['Super Power'];;"
MangaONE";"
ONE (Story & Art)"; 125,094
63; Unknown; Unknown; Publishing; Jun  24, 2017 to ?;['Award Winning', 'Drama'];['School', 'Visual Arts'];['Seinen'];"
Afternoon";"
Yamaguchi, Tsubasa (Story & Art)"; 136,783
64; 19; 110; Finished; Apr  13, 1985 to Mar  12, 1994;['Action', 'Adventure', 'Drama', 'Suspense'];['Delinquents', 'Organized Crime', 'Psychological'];['Shoujo'];"
Betsucomi";"
Yoshida, Akimi (Story & Art)"; 63,038
65; Unknown; Unknown; Publishing; Aug  25, 2018 to ?;['Award Winning', 'Drama'];['School'];['Seinen'];"
Afternoon";"
Takamatsu, Misaki (Story & Art)"; 47,504
66; 4; 26; Finished; Oct  20, 2017 to Sep  20, 2019;['Romance'];;;"
Gene pixiv";"
Morinaga, Miku (Story & Art)"; 32,520
67; 11; 44; Finished; Apr  6, 2011 to Feb  6, 2015;['Award Winning', 'Drama', 'Romance'];['Music', 'School'];['Shounen'];"
Shounen Magazine (Monthly)";"
Arakawa, Naoshi (Story & Art)"; 85,060
68; 14; 97; Finished; Dec  26, 1994 to Jun  4, 2013;['Action', 'Drama', 'Mystery', 'Sci-Fi', 'Suspense'];['Mecha', 'Psychological'];['Seinen', 'Shounen'];"
Young Ace";"
Sadamoto, Yoshiyuki (Story & Art)"; 121,480
69; 16; 155; Finished; Jun  3, 2013 to Aug  21, 2017;['Drama'];['Adult Cast', 'High Stakes Game', 'Psychological', 'Strategy Game'];['Seinen'];"
Young Magazine (Weekly)";"
Fukumoto, Nobuyuki (Story & Art)"; 11,258
70; 18; 174; Finished; Apr  21, 1992 to Nov  21, 1995;['Action', 'Supernatural'];;['Shounen'];"
Shounen Jump (Weekly)";"
Araki, Hirohiko (Story & Art)"; 109,603
71; 50; 252; Finished; Dec  28, 2007 to Aug  1, 2022;['Award Winning', 'Drama'];['Love Polygon', 'Strategy Game'];['Josei'];"
Be-Love";"
Suetsugu, Yuki (Story & Art)"; 51,690
72; 24; 107; Finished; May  18, 2006 to Mar  18, 2015;['Adventure', 'Fantasy', 'Mystery'];;['Shounen'];"
GFantasy";"
Mochizuki, Jun (Story & Art)"; 184,646
73; Unknown; Unknown; Publishing; Oct  14, 2008 to ?;['Award Winning', 'Romance'];['Historical'];['Seinen'];"
Aokishi";"
Mori, Kaoru (Story & Art)"; 78,033
74; Unknown; Unknown; Publishing; Feb  15, 2002 to ?;['Comedy', 'Drama', 'Romance'];['Love Polygon', 'Showbiz'];['Shoujo'];"
Hana to Yume";"
Nakamura, Yoshiki (Story & Art)"; 94,560
75; 20; 165; Finished; Oct  16, 2008 to Aug  18, 2016;['Drama', 'Mystery', 'Supernatural'];['Detective', 'Historical', 'Psychological'];['Seinen'];"
Morning";"
Urasawa, Naoki (Story & Art), Nagasaki, Takashi (Story)"; 79,002
76; 34; 309; Finished; Aug  19, 2015 to Oct  26, 2022;['Sports'];['School', 'Team Sports'];['Shounen'];"
Shounen Magazine (Weekly)";"
Terajima, Yuuji (Story & Art)"; 18,950
77; Unknown; Unknown; Publishing; Dec  18, 2014 to ?;['Supernatural'];['School'];['Shounen'];"
GFantasy";"
Aida, Iro (Story & Art)"; 123,598
78; 34; 141; Finished; Sep  9, 2009 to Apr  9, 2021;['Action', 'Award Winning', 'Drama', 'Suspense'];['Gore', 'Military', 'Survival'];['Shounen'];"
Bessatsu Shounen Magazine";"
Isayama, Hajime (Story & Art)"; 677,084
79; 22; 240; Finished; Nov  1, 2014 to Nov  18, 2019;['Award Winning', 'Comedy', 'Suspense'];['Adult Cast', 'Organized Crime'];['Seinen'];"
Young Magazine (Weekly)";"
Minami, Katsuhisa (Story & Art)"; 58,949
80; 28; 259; Finished; Apr  12, 1994 to Sep  21, 1999;['Action', 'Drama'];['Historical', 'Samurai'];['Shounen'];"
Shounen Jump (Weekly)";"
Watsuki, Nobuhiro (Story & Art)"; 102,271
81; 16; 19; Finished; Dec  20, 1966 to Feb  1988;['Drama', 'Fantasy', 'Romance', 'Sci-Fi', 'Supernatural'];['Historical', 'Psychological', 'Space'];['Shounen'];"
Manga Shounen";"
Tezuka, Osamu (Story & Art)"; 25,474
82; 25; 154; Finished; Feb  20, 2008 to May  20, 2016;['Comedy', 'Fantasy', 'Romance', 'Supernatural'];['Mythology'];['Shoujo'];"
Hana to Yume";"
Suzuki, Julietta (Story & Art)"; 93,783
83; 14; 144; Finished; Sep  8, 2011 to Sep  18, 2014;['Action', 'Fantasy', 'Horror'];['Gore', 'Psychological', 'Urban Fantasy'];['Seinen'];"
Young Jump";"
Ishida, Sui (Story & Art)"; 536,417
84; Unknown; Unknown; Publishing; Feb  26, 2016 to ?;['Boys Love'];['Otaku Culture', 'School'];;"
Gene pixiv";"
Harusono, Shou (Story & Art)"; 40,308
85; 23; 136; Finished; Jul  18, 1998 to Nov  20, 2006;['Award Winning', 'Drama', 'Romance', 'Supernatural'];['Love Polygon', 'School'];['Shoujo'];"
Hana to Yume";"
Takaya, Natsuki (Story & Art)"; 148,675
86; 5; 55; Finished;  1996 to  1997;['Drama', 'Sports'];;['Seinen'];"
Big Comic Spirits";"
Matsumoto, Taiyou (Story & Art)"; 24,092
87; 20; 175; Finished; Nov  14, 1998 to Aug  15, 2006;['Sports'];['Adult Cast', 'Psychological', 'Team Sports'];['Seinen'];"
Business Jump";"
Kaitani, Shinobu (Story & Art)"; 38,037
88; Unknown; Unknown; Publishing; Apr  26, 2021 to ?;['Slice of Life'];;['Seinen'];"
Big Comic Spirits";"
Shinzou, Keigo (Story & Art)"; 20,629
89; 6; 27; Finished; Oct  22, 2010 to Nov  22, 2012;['Drama', 'Fantasy', 'Horror', 'Mystery', 'Supernatural', 'Suspense'];['Psychological'];['Shounen'];"
Gangan Joker";"
Ryukishi07 (Story), Akitaka (Art)"; 17,239
90; 5; 34; Finished; Nov  28, 2011 to Jan  28, 2015;['Award Winning', 'Slice of Life'];['Memoir', 'Otaku Culture', 'Visual Arts'];['Josei'];"
Cocohana";"
Higashimura, Akiko (Story & Art)"; 29,270
91; 18; 87; Finished; Jul  24, 2002 to Sep  24, 2010;['Comedy', 'Drama', 'Romance'];['Crossdressing', 'Reverse Harem', 'School'];['Shoujo'];"
LaLa";"
Hatori, Bisco (Story & Art)"; 133,084
92; 24; 112; Finished; Jun  25, 2001 to Jun  26, 2014;['Action', 'Award Winning', 'Drama', 'Sci-Fi'];['Mecha', 'Military', 'Space'];['Shounen'];"
Gundam Ace";"
Yasuhiko, Yoshikazu (Story & Art), Tomino, Yoshiyuki (Story)"; 17,898
93; 1; 8; Finished; Mar  28, 2008 to Aug  22, 2008;['Drama', 'Romance'];['Music', 'Psychological'];['Seinen'];"
Comic Bunch";"
Yumeka, Sumomo (Art)"; 120,595
94; 9; 58; Finished; Apr  30, 2013 to Mar  30, 2023;['Boys Love', 'Drama'];['Music', 'School'];;"
Cheri+";"
Kizu, Natsuki (Story & Art)"; 67,595
95; 10; 80; Finished; May  10, 2013 to Aug  25, 2016;['Award Winning'];['Music'];['Seinen'];"
Big Comic";"
Ishizuka, Shinichi (Story & Art)"; 25,422
96; 22; 193; Finished; Mar  14, 2018 to Mar  15, 2023;['Action', 'Comedy', 'Drama', 'Mystery', 'Romance', 'Supernatural'];['Vampire'];['Shounen'];"
Shounen Magazine (Weekly)";"
Oh! Great (Art), NISIO, ISIN (Story)"; 42,437
97; Unknown; Unknown; Publishing; Jul  24, 2019 to ?;['Romance'];['Adult Cast'];['Shoujo'];"
Dessert";"
Morishita, Suu (Story & Art)"; 57,395
98; 9; 45; Finished; Sep  28, 2007 to Jan  28, 2012;['Award Winning', 'Drama', 'Romance'];['Love Polygon', 'Music', 'School'];['Josei'];"
Flowers (Monthly)";"
Kodama, Yuki (Story & Art)"; 32,739
99; 2; 10; Finished; Aug  25, 2016 to May  25, 2017;['Drama', 'Romance'];;;"
Monthly Action";"
Kirihara, Idumi (Art), Sumino, Yoru (Story)"; 48,871
100; Unknown; Unknown; Publishing; Mar  25, 2019 to ?;['Action', 'Comedy'];['Childcare'];['Shounen'];"
Shounen Jump+";"
Endou, Tatsuya (Story & Art)"; 321,851
101; Unknown; Unknown; Publishing; Dec  4, 2012 to ?;['Action', 'Mystery', 'Supernatural'];['Detective'];['Seinen'];"
Young Ace";"
Asagiri, Kafka (Story), Harukawa35 (Art)"; 98,408
102; 6; 45; Finished; May  30, 2012 to Mar  30, 2016;['Action', 'Adventure', 'Comedy', 'Drama', 'Romance', 'Supernatural'];['Reincarnation'];['Seinen'];"
Young King OURs";"
Mizukami, Satoshi (Story & Art)"; 48,148
103; 27; 110; Finished; May  19, 2011 to Aug  19, 2021;['Action', 'Adventure', 'Award Winning', 'Mystery', 'Supernatural'];;['Seinen'];"
Ultra Jump";"
Araki, Hirohiko (Story & Art)"; 163,045
104; Unknown; 21; Finished;  2004;['Comedy', 'Drama', 'Romance', 'Slice of Life'];;;"
    None";"
Yokota, Takuma (Story & Art)"; 49,776
105; Unknown; Unknown; Publishing; Aug  1, 2018 to ?;['Award Winning', 'Sports'];['Team Sports'];['Shounen'];"
Shounen Magazine (Weekly)";"
Kaneshiro, Muneyuki (Story), Nomura, Yuusuke (Art)"; 200,738
106; 5; 49; Finished; Jan  26, 2019 to Nov  27, 2023;['Slice of Life'];['School'];;"
Comic Cune";"
Tsukumizu (Story & Art)"; 24,146
107; Unknown; Unknown; Publishing; Dec  22, 2015 to ?;['Fantasy'];['Historical', 'Urban Fantasy', 'Vampire'];['Shounen'];"
Gangan Joker";"
Mochizuki, Jun (Story & Art)"; 71,173
108; 6; 26; Finished; Nov  22, 2014 to May  24, 2017;['Romance', 'Supernatural'];;['Shoujo'];"
Dessert";"
Morino, Megumi (Story & Art)"; 39,683
109; 2; 12; Finished; Feb  28, 2018 to Sep  16, 2020;['Boys Love', 'Drama', 'Slice of Life'];;;"
Opera";"
Nakamura, Asumiko (Story & Art)"; 9,945
110; 19; 117; Finished; Jun  15, 2010 to Jul  15, 2020;['Comedy', 'Supernatural'];['Childcare', 'Organized Crime'];['Seinen'];"
Harta";"
Ohtake, Masao (Story & Art)"; 58,185
111; 4; 23; Finished; Mar  6, 2015 to May  23, 2018;['Drama', 'Slice of Life'];['Psychological'];['Seinen'];"
HiBaNa";"
Kamatani, Yuuki (Story & Art)"; 66,585
112; 37; 333; Finished; Jul  23, 2002 to Jun  15, 2009;['Sports'];['Team Sports'];['Shounen'];"
Shounen Jump (Weekly)";"
Inagaki, Riichiro (Story), Murata, Yusuke (Art)"; 80,506
113; 17; 170; Finished; Sep  2, 2005 to Feb  17, 2010;['Award Winning', 'Comedy', 'Drama', 'Romance', 'Sports'];['School', 'Team Sports'];['Shounen'];"
Shounen Sunday";"
Adachi, Mitsuru (Story & Art)"; 23,791
114; 26; 271; Finished; Apr  9, 2008 to Apr  23, 2014;['Comedy', 'Fantasy', 'Romance', 'Supernatural'];['Harem', 'Otaku Culture', 'School'];['Shounen'];"
Shounen Sunday";"
Wakaki, Tamiki (Story & Art)"; 113,115
115; Unknown; Unknown; Publishing; Apr  6, 2021 to ?;['Action', 'Comedy', 'Supernatural'];;['Shounen'];"
Shounen Jump+";"
Tatsu, Yukinobu (Story & Art)"; 187,659
116; 16; 108; Finished; Sep  27, 2007 to Dec  27, 2017;['Adventure', 'Drama', 'Fantasy', 'Romance', 'Supernatural'];['Adult Cast', 'Historical'];['Seinen'];"
Dengeki Maoh";"
Koume, Keito (Art), Hasekura, Isuna (Story)"; 44,390
117; 22; 235; Finished; Nov  21, 2002 to Jan  4, 2010;['Award Winning', 'Drama'];['Delinquents', 'Historical', 'Psychological'];['Seinen'];"
Young Sunday (Weekly)";"
Abe, George (Story), Kakizaki, Masasumi (Art)"; 39,772
118; Unknown; Unknown; Publishing; Aug  4, 2016 to ?;['Mystery', 'Suspense'];['Adult Cast', 'Historical', 'Psychological'];['Shounen'];"
Jump SQ.";"
Takeuchi, Ryousuke (Story), Miyoshi, Hikaru (Art)"; 40,337
119; Unknown; Unknown; Publishing; Jun  11, 2020 to ?;['Drama', 'Slice of Life', 'Sports'];;['Seinen'];"
Young Jump";"
Kuzumi, Taiyou (Art)"; 4,598
120; 6; 26; Finished; Nov  18, 2010 to Nov  17, 2012;['Drama', 'Horror', 'Mystery', 'Supernatural'];;['Shounen'];"
GFantasy";"
Ryukishi07 (Story), Momoyama, Hinase (Art)"; 15,103
121; Unknown; Unknown; Publishing; Apr  19, 2023 to ?;['Girls Love'];['Music'];;"
    None";"
Arai, Sumiko (Story & Art)"; 42,493
122; 42; 520; Finished; Nov  20, 1984 to May  23, 1995;['Action', 'Adventure', 'Fantasy'];['Martial Arts'];['Shounen'];"
Shounen Jump (Weekly)";"
Toriyama, Akira (Story & Art)"; 174,193
123; 45; 821; Finished; Dec  1969 to  1996;['Adventure', 'Award Winning', 'Comedy', 'Sci-Fi', 'Slice of Life'];['Anthropomorphic', 'School'];['Kids', 'Shounen'];"
    None";"
Fujiko, Fujio F. (Story & Art)"; 17,286
124; 18; 182; Finished; Oct  13, 2000 to May  23, 2008;['Action'];['Delinquents', 'Martial Arts', 'Psychological'];['Seinen'];"
Young Animal";"
Mori, Kouji (Story & Art)"; 93,300
125; 38; 366; Finished;  1988 to Oct  1997;['Action', 'Comedy'];['Delinquents', 'School'];['Shounen'];"
Shounen Sunday";"
Nishimori, Hiroyuki (Story & Art)"; 23,082
126; 2; 16; Finished; Dec  25, 2006 to Jul  14, 2007;['Award Winning', 'Drama', 'Mystery', 'Sci-Fi'];['Psychological'];['Seinen'];"
Big Comic Spirits";"
Urasawa, Naoki (Story & Art)"; 103,516
127; 49; Unknown; On Hiatus; Jan  1976 to May  26, 2012;['Drama', 'Romance'];['Performing Arts', 'Showbiz'];['Shoujo'];"
Bessatsu Hana to Yume";"
Miuchi, Suzue (Story & Art)"; 13,335
128; 20; 150; Finished; Feb  22, 2008 to Jul  12, 2023;['Comedy', 'Slice of Life'];['Childcare', 'Iyashikei', 'Visual Arts'];['Shounen'];"
Shounen Gangan";"
Yoshino, Satsuki (Story & Art)"; 44,427
129; Unknown; Unknown; Publishing; Mar  15, 2019 to ?;['Boys Love', 'Slice of Life'];['School'];['Josei'];"
Comic Gene";"
Harusono, Shou (Story & Art)"; 12,212
130; Unknown; Unknown; Publishing; Aug  25, 2011 to ?;['Comedy', 'Romance'];['Otaku Culture', 'School'];;"
Gangan Online";"
Tsubaki, Izumi (Story & Art)"; 84,020
